Tank	NutTreat	Invasion	Week	TP	TN	SRP	TIN	ChlA	ZP	CAL	DIAP	CYCL	ASPL	BOSM	DPAR	SIMO	CERI	NAUP	DAMB	DLUM	CHYD			
15	2	1	2	43.90	2430.0	23.35	1838.9	5.48	1874.7	305	96	23	0	33	3	0	3	0	0	7	61			
18	2	1	2	42.78	2320.0	25.93	1822.5	1.49	4380.2	75	79	29	0	46	7	0	42	1	0	8	86			
22	2	1	2	42.22	2460.0	23.70	1995.2	4.19	2405.1	96	46	8	0	5	2	0	37	1	0	0	27			
12	2	1	3	123.38	2490.0	4.44	1090.0	3.98	6238.1	70	67	285	0	3	0	0	23	1	0	79	540			
15	2	1	3	31.43	1810.0	5.94	1281.9	1.83	4227.3	79	495	25	0	54	0	25	207	1	0	2	601			
18	2	1	3	39.56	2090.0	3.59	1510.0	6.11	8571.3	240	53	66	0	85	0	65	300	1	0	0	436			
22	2	1	3	34.08	2120.0	1.85	1560.0	12.53	8208.4	88	39	98	0	6	0	274	57	0	0	0	465			
12	2	1	4	51.86	1310.0	0.04	594.8	28.21	733.2	70	27	569	0	0	0	0	4	0	0	68	679			
15	2	1	4	23.47	1555.0	1.30	1013.4	4.81	977.3	8	39	6	0	0	0	7	235	0	0	0	355			
18	2	1	4	43.05	1905.0	1.59	1336.0	0.71	1099.9	70	26	83	0	3	0	200	293	0	0	0	2424			
22	2	1	4	21.05	1755.0	0.10	1371.2	0.84	2271.4	44	3	74	0	0	0	35	86	0	0	0	880			
12	2	1	5	34.73	1370.0	4.69	420.0	15.99	1707.9	75	79	267	0	0	0	0	1	0	0	0	91			
15	2	1	5	35.33	1360.0	5.96	1036.3	2.13	4099.9	5	5	88	0	0	0	99	36	0	0	0	2940			
18	2	1	5	28.50	1760.0	7.15	1351.8	1.36	5443.0	8	2	29	0	0	0	394	48	0	0	0	4857			
22	2	1	5	26.00	2110.0	5.35	1466.7	0.95	4267.7	4	2	38	0	0	0	251	75	0	0	0	2726			
12	2	1	6	25.31	1535.0	1.35	537.5	17.86	2971.4	30	400	30	0	0	0	0	1	0	0	1	6009			
15	2	1	6	34.21	1925.0	5.14	1202.0	0.94	1424.0	0	4	6	0	0	0	2045	88	0	0	0	5240			
18	2	1	6	25.59	2040.0	5.06	1402.6	0.97	8386.8	4	0	0	0	0	0	504	29	0	0	0	3380			
22	2	1	6	35.85	2510.0	2.44	1707.4	0.86	8150.9	0	0	26	0	0	0	642	74	0	0	0	7066			
4	3	1	1	25.92	1040.0	2.54	510.7	1.91	4484.7	83	0	24	0	8	0	0	8	0	0	0	0			
11	3	1	1	53.57	1360.0	2.68	510.7	1.83	3509.6	30	6	8	0	8	0	0	8	0	0	0	0			
19	3	1	1	26.46	1080.0	1.43	497.1	1.33	4316.3	66	9	30	0	0	0	0	7	0	0	0	0			
24	3	1	1	21.82	1050.0	0.77	507.6	1.00	4252.8	227	6	34	0	0	0	0	21	0	0	0	0			
4	3	1	2	63.22	3260.0	48.68	2909.7	2.82	9592.3	236	32	8	0	5	0	0	49	0	0	7	27			
11	3	1	2	69.89	3390.0	38.91	2909.7	5.64	5830.4	10	76	0	0	20	2	0	39	0	0	23	38			
19	3	1	2	69.17	3340.0	50.75	2870.7	1.35	4396.3	88	23	24	0	27	0	0	76	0	0	8	49			
24	3	1	2	64.00	3340.0	45.98	2808.9	5.97	10657.9	61	54	29	0	8	0	0	83	1	0	0	3			
4	3	1	3	29.61	3080.0	10.36	2550.0	4.40	3973.1	222	31	29	0	4	0	306	52	0	0	0	609			
11	3	1	3	97.55	3540.0	8.93	2550.0	26.55	10322.3	70	91	93	0	3	0	973	46	1	0	7	350			
19	3	1	3	49.56	3210.0	5.52	2540.0	7.14	2453.0	70	40	56	0	97	0	7	24	0	0	0	88			
24	3	1	3	76.18	3250.0	6.53	2470.0	10.29	7598.3	201	301	95	0	35	0	298	240	1	0	7	54			
4	3	1	4	45.04	2950.0	9.56	2596.9	1.30	1194.7	97	4	90	0	0	0	2726	34	0	0	0	587			
11	3	1	4	33.82	3030.0	6.70	2596.9	0.69	1827.3	44	43	98	0	0	0	2278	220	0	0	0	3056			
19	3	1	4	68.72	2780.0	4.44	2488.0	9.79	766.6	49	8	250	0	23	0	9	42	0	0	0	936			
24	3	1	4	32.68	2705.0	5.31	2334.7	1.21	2676.3	10	40	225	0	2	0	491	49	0	0	0	51			
4	3	1	5	42.21	3690.0	12.71	3041.8	1.08	6679.4	10	0	40	0	0	0	2398	9	0	0	0	5698			
11	3	1	5	77.65	4380.0	21.86	3041.8	1.08	8004.1	4	7	69	0	0	0	594	79	0	0	0	7629			
19	3	1	5	52.41	3710.0	3.23	2890.7	17.59	4024.0	0	7	253	0	8	0	0	2	1	0	0	2595			
24	3	1	5	33.47	3410.0	9.32	2791.5	1.11	7477.9	5	2	96	0	0	0	787	77	0	0	0	463			
4	3	1	6	72.01	4335.0	30.94	3552.8	0.77	8838.5	0	0	4	0	0	0	458	0	0	0	0	5443			
11	3	1	6	53.55	4307.5	27.00	3552.8	0.50	4212.4	0	0	28	0	0	0	297	22	0	0	0	6053			
19	3	1	6	31.88	3685.0	3.27	3052.0	21.32	6496.3	0	3	60	0	4	0	7	54	0	0	0	8485			
24	3	1	6	37.40	3880.0	4.85	3222.7	1.02	5911.8	5	0	9	0	0	0	502	0	0	0	0	3690			
